"","date","chl_large","chl_small","record_total_hrs","presence_total_hrs","mean_sst","whale_presence","presence_lead","month","year"
"1",2002-01-01,0.155656432614047,0.147784769535065,160.7,160.7,29.51984375,1,0.326015367727772,1,2002
"2",2002-01-09,NA,NA,182.2,59.4,28.9381770833334,0.326015367727772,0.317708333333333,1,2002
"3",2002-01-17,NA,NA,192,61,28.4213020833333,0.317708333333333,0.109375,1,2002
"4",2002-01-25,NA,NA,192,21,27.898828125,0.109375,0.00520833333333333,1,2002
"5",2002-02-02,0.171640489890118,NA,192,1,27.8680729166667,0.00520833333333333,0.0572916666666667,2,2002
"6",2002-02-10,0.161377566093105,NA,192,11,28.5001041666666,0.0572916666666667,0.0677083333333333,2,2002
"7",2002-02-18,0.123349564370289,0.102710633228223,192,13,28.876328125,0.0677083333333333,0.135416666666667,2,2002
"8",2002-02-26,0.119859264640928,0.10332286854585,192,26,28.8366927083333,0.135416666666667,0,2,2002
"9",2002-03-06,0.136349792733337,0.137155210971832,192,0,28.8396354166667,0,0.0312825860271116,3,2002
"10",2002-03-14,0.153065141031726,0.139114117870728,191.8,6,28.7693489583333,0.0312825860271116,0.0364583333333333,3,2002
"11",2002-03-22,0.122937804354089,NA,192,7,28.943515625,0.0364583333333333,0,3,2002
"12",2002-03-30,0.128669349683656,0.118178501725197,192,0,29.0867708333333,0,0,3,2002
"13",2002-04-07,0.106960016199284,0.0986872240900993,192,0,29.209765625,0,0,4,2002
"14",2002-04-15,0.133689176774662,0.106652824829022,192,0,29.3039322916667,0,0,4,2002
"15",2002-04-23,0.119386866945645,NA,192,0,29.2323177083333,0,0.0260416666666667,4,2002
"16",2002-05-01,0.114772041301125,0.100899843499064,192,5,29.1116666666667,0.0260416666666667,0.03125,5,2002
"17",2002-05-09,0.123646676695595,0.110371553649505,192,6,29.0780208333333,0.03125,0.0260416666666667,5,2002
"18",2002-05-17,0.116950416898394,0.113629161069791,192,5,28.90515625,0.0260416666666667,0.00520833333333333,5,2002
"19",2002-05-25,0.11667089825952,0.0895903321603934,192,1,28.9090885416667,0.00520833333333333,0,5,2002
"20",2002-06-02,0.149172302455671,0.067738451063633,192,0,28.4020833333333,0,0,6,2002
"21",2002-06-10,0.205040119484895,0.207053360839685,192,0,27.5854427083333,0,0.0416666666666667,6,2002
"22",2002-06-18,0.166086552595651,0.145192017157873,192,8,27.0758072916667,0.0416666666666667,0.261096605744125,6,2002
"23",2002-06-26,0.171673727765058,0.133607755104701,191.5,50,27.3055208333333,0.261096605744125,0.0162513542795233,6,2002
"24",2002-07-04,0.132367461919785,NA,184.6,3,27.4795572916667,0.0162513542795233,0,7,2002
"25",2002-07-12,0.145061576945914,0.130937599887451,175.4,0,27.3055208333333,0,0,7,2002
"26",2002-07-20,0.133512414569128,0.12875826160113,190.3,0,27.2295572916667,0,0,7,2002
"27",2002-07-28,0.183887490339703,0.164613199730714,192,0,27.2292447916667,0,0,7,2002
"28",2002-08-05,0.159333092677924,0.140014154215654,183.6,0,27.2015104166667,0,0,8,2002
"29",2002-08-13,0.136733212641307,NA,191.9,0,27.1605989583333,0,0,8,2002
"30",2002-08-21,0.207526224975785,NA,179,0,27.0849739583334,0,0.125,8,2002
"31",2002-08-29,0.224794442268243,0.148633638396859,192,24,27.2586458333333,0.125,0.494791666666667,8,2002
"32",2002-09-06,0.2152377349428,0.223023906350136,192,95,27.7701822916667,0.494791666666667,0.244791666666667,9,2002
"33",2002-09-14,0.141235149823702,0.147375196218491,192,47,27.941796875,0.244791666666667,0.0993676603432701,9,2002
"34",2002-09-22,0.164183600570064,NA,110.7,11,28.1501822916666,0.0993676603432701,0.442708333333333,9,2002
"35",2002-09-30,0.128313075881321,0.121834855526686,192,85,28.1738802083334,0.442708333333333,0.0364583333333333,9,2002
"36",2002-10-08,0.122955528837917,0.109689388424158,192,7,28.4483854166667,0.0364583333333333,0.307291666666667,10,2002
"37",2002-10-16,0.132454313803464,0.118479613214731,192,59,28.427578125,0.307291666666667,0.145833333333333,10,2002
