"","date","chl_large","chl_small","record_total_hrs","presence_total_hrs","mean_sst","whale_presence","presence_lead","month","year"
"1",2002-01-01,0.102996895999409,0.0900865197181702,160.7,0,29.482734375,0,0,1,2002
"2",2002-01-09,0.118424409051095,0.116876122852166,182.2,0,28.5907291666667,0,0.104166666666667,1,2002
"3",2002-01-17,NA,NA,192,20,28.20375,0.104166666666667,0,1,2002
"4",2002-01-25,NA,NA,192,0,27.879296875,0,0,1,2002
"5",2002-02-02,0.176404875378276,0.172533396631479,192,0,27.7108854166667,0,0,2,2002
"6",2002-02-10,0.14343448129256,0.150495223701,192,0,28.478984375,0,0,2,2002
"7",2002-02-18,0.108510724734515,0.104683466255665,192,0,29.0109114583333,0,0,2,2002
"8",2002-02-26,0.0896834436758065,0.0813812799751759,189.7,0,29.0251041666667,0,0,2,2002
"9",2002-03-06,0.0964401209583649,NA,192,0,28.9925260416667,0,0.00521376433785193,3,2002
"10",2002-03-14,0.0867386848567435,0.0839984975755215,191.8,1,29.161484375,0.00521376433785193,0,3,2002
"11",2002-03-22,0.0718262268713227,NA,192,0,29.02734375,0,0,3,2002
"12",2002-03-30,0.112425600566109,0.102774020284414,192,0,29.1128125,0,0,3,2002
"13",2002-04-07,0.0997238541191274,0.10760727028052,192,0,29.3787239583333,0,0,4,2002
"14",2002-04-15,0.0997825515783065,0.0793175498644511,192,0,29.3472395833333,0,0.0208333333333333,4,2002
"15",2002-04-23,0.0738460533320904,0.0598606280982494,192,4,28.9519791666667,0.0208333333333333,0.421875,4,2002
"16",2002-05-01,0.118298445272883,0.112031375368436,192,81,28.486953125,0.421875,0.15625,5,2002
"17",2002-05-09,0.120831244112924,0.122198299815257,192,30,28.65203125,0.15625,0.145833333333333,5,2002
"18",2002-05-17,0.14644007012248,0.149824271599452,192,28,28.6768489583333,0.145833333333333,0.609375,5,2002
"19",2002-05-25,0.158006338722254,0.149656623601913,192,117,28.603828125,0.609375,0.776041666666667,5,2002
"20",2002-06-02,0.161024377644062,0.176839774847031,192,149,27.8768229166667,0.776041666666667,0.96875,6,2002
"21",2002-06-10,0.258618325740099,NA,192,186,26.9234375,0.96875,0.895833333333333,6,2002
"22",2002-06-18,0.255706792047038,0.251540171603362,192,172,26.29015625,0.895833333333333,0.726495726495727,6,2002
"23",2002-06-26,0.226237829616576,0.231533000866572,187.2,136,25.7172395833333,0.726495726495727,0.898636633076467,6,2002
